topic,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty_level
Foundations of HTA,concept,What is the primary goal of Health Technology Assessment?,To develop new medical devices,To evaluate properties, effects, and impacts of health technologies,To train healthcare professionals,To conduct medical research,a,HTA provides a multidisciplinary policy analysis of health technologies,medium
Foundations of HTA,concept,Which of the following is NOT typically considered a health technology?,Vaccines,Surgical procedures,Electronic health records,Clinical practice guidelines,c,Electronic health records are health technologies,medium
Foundations of HTA,concept,In the Indian context, which challenge makes HTA particularly important?,Limited healthcare budget and rising costs,Only limited budget,Only rising costs,None of the above,a,India faces both limited budgets and rising costs,a
Foundations of HTA,concept,What does the acronym HTA stand for?,Health Technology Assessment,Health Treatment Analysis,Healthcare Technical Analysis,Hospital Technology Application,a,HTA stands for Health Technology Assessment,easy
Foundations of HTA,concept,Which organization recognizes HTA as essential for universal health coverage?,World Health Organization,European Union,United Nations,World Bank,a,WHO recognizes HTA as essential for UHC,easy
Foundations of HTA,concept,What is a key principle of HTA methodology?,Using only clinical effectiveness data,Multidisciplinary perspective and evidence-based framework,Considering only costs,Only consideration of benefits,a,HTA requires multidisciplinary analysis with evidence,a
Foundations of HTA,concept,Which Indian state has shown leadership in developing HTA capacity?,Kerala,Haryana,Gujarat,Rajasthan,a,Kerala has developed significant HTA capacity,easy
Foundations of HTA,concept,What type of HTA assessment is suitable for major policy decisions?,Full HTA,Mini-HTA,Rapid review,Informal review,a,Full HTA is comprehensive for major decisions,medium
Foundations of HTA,calculation,Approximately what percentage of global disease burden is accounted for by non-communicable diseases?,30-40%,40-50%,50-60%,60-70%,c,NCDs account for about 60% of global burden,medium
Foundations of HTA,interpretation,"Based on the principles of HTA, which approach best ensures equity in healthcare resource allocation?",Cost-minimization analysis,Economic evaluation with societal perspective,Clinical effectiveness only,None,B,Economic evaluation with societal perspective considers broader impacts,hard
Economic Evaluation Frameworks,concept,What is the primary difference between Cost-Effectiveness Analysis (CEA) and Cost-Utility Analysis (CUA)?,CEA uses monetary outcomes while CUA uses health outcomes,CEA uses natural health units while CUA uses QALYs,CUA is always more expensive than CEA,CEA is only for pharmaceuticals,a,CEA uses natural units like 'cases cured' while CUA uses QALYs,medium
Economic Evaluation Frameworks,concept,Quality-Adjusted Life Years (QALYs) combine which two elements?,Length of life and quality of life,Cost and effectiveness,Benefit and risk,Quality and cost,a,QALYs combine survival time with health-related quality of life,medium
